# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
1a4u,A,P10807,1.1.1.1
1a4u,B,P10807,1.1.1.1
1a4v,A,P00709,2.4.1.22
1a4w,H,P00734,3.4.21.5
1a4w,I,P09945,?
1a4w,L,P00734,3.4.21.5
1a4x,A,P39765,2.4.2.9
1a4x,B,P39765,2.4.2.9
1a4y,A,P13489,?
1a4y,B,P03950,3.1.27.-
1a4y,D,P13489,?
1a4y,E,P03950,3.1.27.-
1a4z,A,P20000,1.2.1.3
1a4z,B,P20000,1.2.1.3
1a4z,C,P20000,1.2.1.3
1a4z,D,P20000,1.2.1.3
1a50,A,P00929,4.2.1.20
1a50,B,P0A2K1,4.2.1.20
1a52,A,P03372,?
1a52,B,P03372,?
1a53,A,Q06121,4.1.1.48
1a54,A,P0AG82,?
1a55,A,P0AG82,?
1a56,A,P95339,?
1a57,A,P02693,?
1a58,A,Q27450,5.2.1.8
1a59,A,O34002,2.3.3.16
1a59,A,O34002,2.3.3.5
1a5a,A,P00929,4.2.1.20
1a5a,B,P0A2K1,4.2.1.20
1a5b,A,P00929,4.2.1.20
1a5b,B,P0A2K1,4.2.1.20
1a5c,A,P14223,4.1.2.13
1a5c,B,P14223,4.1.2.13
1a5d,A,P02528,?
1a5d,B,P02528,?
1a5e,A,P42771,?
1a5g,H,P00734,3.4.21.5
1a5g,I,P09945,?
1a5g,L,P00734,3.4.21.5
1a5h,A,P00750,3.4.21.68
1a5h,B,P00750,3.4.21.68
1a5h,C,P00750,3.4.21.68
1a5h,D,P00750,3.4.21.68
1a5i,A,P98119,3.4.21.68
1a5j,A,Q03237,?
1a5k,A,P18316,3.5.1.5
1a5k,B,P18315,3.5.1.5
1a5k,C,P18314,3.5.1.5
1a5l,A,P18316,3.5.1.5
1a5l,B,P18315,3.5.1.5
1a5l,C,P18314,3.5.1.5
1a5m,A,P18316,3.5.1.5
1a5m,B,P18315,3.5.1.5
1a5m,C,P18314,3.5.1.5
1a5n,A,P18316,3.5.1.5
1a5n,B,P18315,3.5.1.5
1a5n,C,P18314,3.5.1.5
1a5o,A,P18316,3.5.1.5
1a5o,B,P18315,3.5.1.5
1a5o,C,P18314,3.5.1.5
1a5p,A,P61823,4.6.1.18
1a5q,A,P61823,4.6.1.18
1a5r,A,P63165,?
1a5s,A,P00929,4.2.1.20
1a5s,B,P0A2K1,4.2.1.20
1a5t,A,P28631,2.7.7.7
1a5u,A,P11974,2.7.1.40
1a5u,A,P11974,2.7.10.2
1a5u,A,P11974,2.7.11.1
1a5u,B,P11974,2.7.1.40
1a5u,B,P11974,2.7.10.2
1a5u,B,P11974,2.7.11.1
1a5u,C,P11974,2.7.1.40
1a5u,C,P11974,2.7.10.2
1a5u,C,P11974,2.7.11.1
1a5u,D,P11974,2.7.1.40
1a5u,D,P11974,2.7.10.2
1a5u,D,P11974,2.7.11.1
1a5u,E,P11974,2.7.1.40
1a5u,E,P11974,2.7.10.2
1a5u,E,P11974,2.7.11.1
1a5u,F,P11974,2.7.1.40
1a5u,F,P11974,2.7.10.2
1a5u,F,P11974,2.7.11.1
1a5u,G,P11974,2.7.1.40
1a5u,G,P11974,2.7.10.2
1a5u,G,P11974,2.7.11.1
1a5u,H,P11974,2.7.1.40
1a5u,H,P11974,2.7.10.2
1a5u,H,P11974,2.7.11.1
1a5v,A,O92956,2.7.7.-
1a5v,A,O92956,2.7.7.49
1a5v,A,O92956,2.7.7.7
1a5v,A,O92956,3.1.-.-
1a5v,A,O92956,3.1.26.4
1a5v,A,O92956,3.4.23.-
1a5w,A,O92956,2.7.7.-
1a5w,A,O92956,2.7.7.49
1a5w,A,O92956,2.7.7.7
1a5w,A,O92956,3.1.-.-
1a5w,A,O92956,3.1.26.4
1a5w,A,O92956,3.4.23.-
1a5x,A,O92956,2.7.7.-
1a5x,A,O92956,2.7.7.49
1a5x,A,O92956,2.7.7.7
1a5x,A,O92956,3.1.-.-
1a5x,A,O92956,3.1.26.4
1a5x,A,O92956,3.4.23.-
1a5y,A,P18031,3.1.3.48
1a5z,A,P16115,1.1.1.27
1a61,H,P00734,3.4.21.5
1a61,I,P09945,?
1a61,L,P00734,3.4.21.5
1a62,A,P0AG30,3.6.4.-
1a63,A,P0AG30,3.6.4.-
1a64,A,P08921,?
1a64,B,P08921,?
1a65,A,Q9Y780,1.10.3.2
1a66,A,O95644,?
1a67,A,P01038,?
1a68,A,Q16968,?
1a69,A,P0ABP8,2.4.2.1
1a69,B,P0ABP8,2.4.2.1
1a69,C,P0ABP8,2.4.2.1
1a6a,A,P01903,?
1a6a,B,P01911,?
1a6a,C,P04233,?
1a6b,B,P03332,?
1a6c,A,Q88894,?
1a6d,A,P48424,?
1a6d,B,P48425,?
1a6e,A,P48424,?
1a6e,B,P48425,?
1a6f,A,P25814,3.1.26.5
1a6g,A,P02185,?
1a6i,A,P0ACT4,?
1a6j,A,P69829,2.7.1.69
1a6j,B,P69829,2.7.1.69
1a6k,A,P02185,?
1a6l,A,P00214,?
1a6m,A,P02185,?
1a6n,A,P02185,?
1a6p,A,P08921,?
1a6p,B,P08921,?
1a6q,A,P35813,3.1.3.16
1a6r,A,Q01532,3.4.22.40
1a6s,A,P03322,3.4.23.-
1a6u,L,P01724,?
1a6v,L,P01724,?
1a6v,M,P01724,?
1a6v,N,P01724,?
1a6w,L,P01724,?
1a6x,A,P0ABD8,6.4.1.2
1a6y,A,P20393,?
1a6y,B,P20393,?
1a6z,A,Q30201,?
1a6z,B,P61769,?
1a6z,C,Q30201,?
1a6z,D,P61769,?
1a70,A,P00221,?
1a71,A,P00327,1.1.1.1
1a71,B,P00327,1.1.1.1
1a72,A,P00327,1.1.1.1
1a73,A,Q94702,3.1.-.-
1a73,B,Q94702,3.1.-.-
1a74,A,Q94702,3.1.-.-
1a74,B,Q94702,3.1.-.-
1a75,A,P02621,?
1a75,B,P02621,?
1a76,A,Q58839,3.1.-.-
1a77,A,Q58839,3.1.-.-
1a78,A,P56217,?
1a78,B,P56217,?
1a79,A,Q58819,4.6.1.16
1a79,B,Q58819,4.6.1.16
1a79,C,Q58819,4.6.1.16
1a79,D,Q58819,4.6.1.16
1a7a,A,P23526,3.13.2.1
1a7a,B,P23526,3.13.2.1
1a7b,A,P08921,?
1a7b,B,P08921,?
1a7b,C,P08921,?
1a7b,D,P08921,?
1a7c,A,P05121,?
1a7d,A,P02247,?
1a7e,A,P02247,?
1a7f,A,P01308,?
1a7f,B,P01308,?
1a7g,E,P17383,?
1a7h,A,P06504,?
1a7h,B,P06504,?
1a7i,A,Q05158,?
1a7j,A,P12033,2.7.1.19
1a7k,A,Q27890,1.2.1.12
1a7k,B,Q27890,1.2.1.12
1a7k,C,Q27890,1.2.1.12
1a7k,D,Q27890,1.2.1.12
1a7l,A,P0AEX9,?
1a7l,B,P0AEX9,?
1a7l,C,P0AEX9,?
1a7m,A,P09056,?
1a7n,H,P01820,?
1a7n,L,P01635,?
1a7o,H,P01820,?
1a7o,L,P01635,?
1a7p,H,P01820,?
1a7p,L,P01635,?
1a7q,H,P01820,?
1a7q,L,P01635,?
1a7r,H,P01820,?
1a7r,L,P01635,?
1a7s,A,P20160,?
1a7t,A,P25910,3.5.2.6
1a7t,B,P25910,3.5.2.6
1a7u,A,O31168,1.11.1.-
1a7u,B,O31168,1.11.1.-
1a7v,A,P00149,?
1a7v,B,P00149,?
1a7w,A,P19267,?
1a7x,A,P62942,5.2.1.8
1a7x,B,P62942,5.2.1.8
1a80,A,P06632,1.1.1.346
1a81,A,P43405,2.7.10.2
1a81,B,P07766,?
1a81,C,P43405,2.7.10.2
1a81,D,P07766,?
1a81,E,P43405,2.7.10.2
1a81,F,P07766,?
1a81,G,P43405,2.7.10.2
1a81,H,P07766,?
1a81,I,P43405,2.7.10.2
1a81,J,P07766,?
1a81,K,P43405,2.7.10.2
1a81,L,P07766,?
1a82,A,P13000,6.3.3.3
1a85,A,P22894,3.4.24.34
1a86,A,P22894,3.4.24.34
1a87,A,P08083,?
1a88,A,P49323,1.11.1.-
1a88,B,P49323,1.11.1.-
1a88,C,P49323,1.11.1.-
1a8a,A,P14668,?
1a8b,A,P14668,?
1a8c,A,P95339,?
1a8d,A,P04958,3.4.24.68
1a8e,A,P02787,?
1a8f,A,P02787,?
1a8g,A,P03367,2.7.7.-
1a8g,A,P03367,2.7.7.49
1a8g,A,P03367,2.7.7.7
1a8g,A,P03367,3.1.-.-
1a8g,A,P03367,3.1.13.2
1a8g,A,P03367,3.1.26.13
1a8g,A,P03367,3.4.23.16
1a8g,B,P03367,2.7.7.-
1a8g,B,P03367,2.7.7.49
1a8g,B,P03367,2.7.7.7
1a8g,B,P03367,3.1.-.-
1a8g,B,P03367,3.1.13.2
1a8g,B,P03367,3.1.26.13
1a8g,B,P03367,3.4.23.16
1a8h,A,P23395,6.1.1.10
1a8i,A,P00489,2.4.1.1
1a8j,H,P01709,?
1a8j,L,P01709,?
1a8k,A,P03367,2.7.7.-
1a8k,A,P03367,2.7.7.49
1a8k,A,P03367,2.7.7.7
